n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,class_entropy,n_classes,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,mean_mutual_info,max_mutual_info,pca_fraction_95,feature_to_instance_ratio,task_type,best_model
402,6,6,0,0.0,1.0,2,0.045993129,-1.630223058,0.054446811,0.140940025,0.052039485,0.097499369,0.015584303,0.039379369,1.0,0.014925373,classification,GradientBoosting
12286,4,4,0,0.0,1.0,2,0.949768712,0.145595497,0.220744365,0.699081316,0.305990787,0.509898528,0.218195738,0.511257132,1.0,0.000325574,classification,RandomForest
1072,15,15,0,0.0,1.0,2,1.61178186,4.543639121,0.474601691,0.924491019,0.160712863,0.375016987,0.265254866,0.483870103,0.533333333,0.013992537,classification,GradientBoosting
1476,25,25,0,0.0,1.0,2,1.272919448,5.399397931,0.367402888,0.9189564,0.225072846,0.406895646,0.245211841,0.463986038,0.48,0.016937669,classification,GradientBoosting
8220,16,16,0,0.0,3.321928095,10,-0.019938974,-0.616859745,0.271427031,0.859379584,0.128025029,0.359862591,0.515146666,0.838685899,0.625,0.001946472,classification,SVC
2984,28,28,0,0.0,1.0,2,-5.211337256,152.7038123,0.050300609,0.537769278,0.150316256,0.675342027,0.035848638,0.306710275,0.892857143,0.009383378,classification,GradientBoosting
1066,25,25,0,0.0,1.0,2,1.16463999,2.313733179,0.321516612,0.93783004,0.0,0.0,0.25789917,0.429252036,0.48,0.023452158,classification,GradientBoosting
717836,10,10,0,0.0,1.0,2,4.25e-05,-1.287364659,0.009285977,0.022588695,0.000866046,0.002762123,0.012696526,0.019111688,1.0,1.39e-05,classification,RandomForest
440,85,85,0,0.0,1.0,2,0.050158729,1.081788129,0.021307115,0.113942694,0.075325307,0.295157457,0.021330093,0.135551125,0.941176471,0.193181818,classification,SVC
1975940,16,16,2,0.0,1.0,2,1.719101155,5.629252703,0.083102831,0.568801206,0.0,0.0,0.110863368,0.450868015,0.8125,8.1e-06,classification,GradientBoosting
3918,25,25,22,5.358784023,1.0,2,2.721579451,45.41224594,0.110737224,0.997435519,0.0,0.0,0.1510731,0.646401669,0.76,0.006380807,classification,RandomForest
1232,5,5,4,0.0,1.0,2,0.01299932,-1.240473608,0.191198577,0.490853226,0.0,0.0,0.281282233,0.424888758,1.0,0.004058442,classification,GradientBoosting
1050,30,30,0,0.0,1.0,2,4.447229698,82.6321728,0.030707523,0.225150651,0.088473226,0.417114888,0.060522805,0.175988949,0.933333333,0.028571429,classification,LogisticRegression
6066,67,67,59,1.812302587,1.0,2,0.03643834,0.409508372,0.016747423,0.091675466,0.063675166,0.387070007,0.015246,0.099818523,0.940298507,0.01104517,classification,RandomForest
1222,28,28,0,0.0,1.0,2,1.470965013,6.847969032,0.202706545,0.902044377,0.129658334,0.552770798,0.052942209,0.209711073,0.607142857,0.022913257,classification,RandomForest
3358,20,20,0,0.0,1.0,2,0.147648598,0.56550764,0.051091866,0.815766071,0.0744706,0.721862441,0.034581139,0.461066963,0.85,0.005955926,classification,GradientBoosting
6264,30,30,16,0.0,1.0,2,0.769888943,-0.283244702,0.238766392,1.0,0.0,0.0,0.060815142,0.670209545,0.586206897,0.004789272,classification,KNN
660,13,13,0,0.0,2.0,4,0.375452364,-0.073356242,0.355402229,0.937838908,0.0,0.0,0.170734888,0.394881112,0.538461538,0.01969697,classification,GradientBoosting
781,12,12,2,0.0,3.459431619,11,0.066717737,-0.563923788,0.209124246,0.560772643,0.0,0.0,0.329373568,0.899194292,0.833333333,0.015364917,classification,GradientBoosting
2358,8,8,0,0.0,3.169925001,9,0.336301709,0.264547761,0.166289464,0.745774789,0.0,0.0,0.426604399,0.770915435,0.833333333,0.003392706,classification,GradientBoosting
10285,1,1,0,0.0,2.321928095,5,0.115722998,-1.268104883,0.0,0.0,0.0,0.0,0.604972519,0.604972519,0.0,9.72e-05,classification,GradientBoosting
1374,215,215,0,0.0,1.0,2,-0.000682579,0.001630839,0.001670365,0.01260376,0.024768455,0.156455091,0.0058033,0.052696247,0.953488372,0.156477438,classification,SVC
39488,21,21,0,9.996289826,1.0,2,-0.054569915,9.09722976,0.079741336,0.81165586,0.054443089,0.154293338,0.266779567,0.500955906,0.80952381,0.000531807,classification,GradientBoosting
